objectid,indicatif,aff_code,toponyme,n_concessi,sup_sig,bureau_cer,wood_vol06,wood_vol07,wood_vol08,rfa_ha,validite,attributai,date_attri,exploitant,groupe_par,province,departemen,commune,sup_provis,classement,date_class,ref_classe,sup_defini,plan_amgmt,date_appro,ref_appro,observatio,certif_fm,certif_cw,certif_leg,date_fm,date_cw,date_legal,statut,shape_leng,nom,ref_doc_of,type_doc_o,date_,classe,gfwid,globalid,shape_Length,shape_Area
82,041000701,Fx,10-041,1019,65563.9280777,Bureau Veritas,57247,43146,58460,1500,V,SODENTRACAM,2011,PALLISCO,PASQUET,Est,Haut Nyong,Lomie,64961,Classee,2004,2004/2445/PM du 08 Dec 2004,64961,Plan Aménagement Approuvé,2004,2376/L/MINEF/SG/DF/SDIAF/SA, ,FSC, ,OLB,09/10/2008, ,05/01/2011,Attribué,143848.561976, , , , , ,0952b258-b032-461b-9124-5dead5db4f96,{1862B6D4-B489-423B-A17F-84D4D70FE0DA},144130.757878056,658325006.424919
83,041000701,Fx,10-039,1044,48041.9917382,Bureau Veritas,22781,10964,17164,3100,V,LFM,2013,ASSENE NKOU,PASQUET,Est,Haut Nyong,Lomie,47585,EnCours,NA,NA,NA,Plan Aménagement Approuvé,2004,1100/N/MINEF/SG/DF/SDIAF/SA, ,FSC, ,OLB,09/10/2008, ,05/01/2011,Attribué,118613.264297, , , , , ,f52c163d-8965-402c-bece-10254e8af7cd,{43E2B41A-27F0-4591-8187-88A89982A899},118785.618652059,482074389.623095
84,041000701,Fx,09-023,1005,58219.952347,Bureau Veritas,9911,8367,0,1500,V,CUF,2010,CUF,ND,Sud,Vallee du Ntem,Ma'an,56192,EnCours,NA,NA,NA,Plan Aménagement Approuvé,2004,1093/N/MINEF/SG/DF/SDIAF/SA, , , , , , , ,Attribué,217940.15668, , , , , ,bfa76cd4-c77f-4375-8da4-4c6084497ec0,{C645D6CF-9B32-4485-9CF8-EA3ECB8C4BAD},218604.570176419,586941519.294395
85,041000702,Fx,10-036,1103,61951.9291868, ,0,0,0,4100,V,SIM,2012,ND,ND,Est,Haut Nyong, ,65055,NA,NA,NA,NA,Sans plan d'aménagement,NA,NA,0214/C/MINFOF/SG/DF/SDAFF/SAG DU 28 Août 2012, , , , , , ,Attribué,227427.107249, , , , , ,9ce9c40f-9bff-45b1-b495-8714f37cfaec,{A9747339-9A9A-44D2-B382-C7335F22167A},227749.705199836,621870101.688785
86,041000701,Fx,11-001,1086,55384.5080957, ,19029,38048,33259,1500,V,TRC,2010,TRC,REEF,Sud Ouest,Manyu, ,80882,Classee,2004,80/363/PM du 08 Dec 2004,55580,Plan Aménagement Approuvé,2008,2082/L/MINFOF/SG/DF/SDIAF, , , , , , , ,Attribué,198037.886669, , , , , ,4f23ddb2-8c75-4cd7-8242-c7ba091708c4,{15F876D2-9C46-4653-BCAD-F0FA42BE7A70},199677.70763949,563172420.953562
87,041000701,Fx,08-006,1002,50069.8176052, ,0,0,0,1500,V,SFB,1997,SFB,NA,Centre,Mbam et Kim,Yoko,69920,Classee,2005,2005/0605/PM du 1 Mars 2005,51450,Plan Aménagement Approuvé,2004,0222/N/MINEF/SG/DF/SDIAF/SA, , , , , , , ,Attribué,135768.46809, , , , , ,3d5da46d-9102-49d7-b41d-52ef003a08de,{3A214ACB-1115-45D2-B65F-200A0199A68F},136750.90669031,507034242.688796
88,041000701,Fx,08-002,1026,60626.8681638, ,10387,19959,16028,1500,V,SABM,2005,SABM,NA,Centre,Mbam et Kim,Yoko,59910,Classee,2005,2005/0601/PM du 1 Mars 2005,59910,Plan Aménagement Approuvé,2005,0019/L/MINEF/SG/DF/SDIAF/SI, , , , , , , ,Attribué,117798.998455, , , , , ,bdca53f8-2e18-42a9-bdf4-279da71e6b14,{B5DC9EA4-747D-4619-9AA3-D25C18809703},118392.71182647,613674603.441107
89,041000701,Fx,10-062,1047,146231.725935,Bureau Veritas,62910,57540,33777,1110,V,PM SARL,2011,PM,P. MARELIS,Est,Lom et Djerem,Belabo,126160,Classee,2004,2004/2443/PM du 08 Dec 2004,149079,Plan Aménagement Approuvé,2005,0001/N/MINFOF/SG/DF/SDIAF/SI, , , ,OLB, , ,08/06/2009,Attribué,212232.012327, , , , , ,fe2ab159-0d1b-4371-892a-890e8c1a0ebd,{19729062-1CF4-4624-877F-46D0A5C72D4D},213321.694069659,1478662098.52121
90,041000702,Fx,00-001,1075,59270.9213581, ,52967,0,0,2100,N,SEPFCO,2005,Boitex,Boitex,Centre/Sud,"Nyong et Kelle, Océan",Eseka/Makak/Lolodorf,57926,EnCours,NA,NA,57926,Plan Aménagement Approuvé,2008,2079/L/MINFOF/SG/DF/SDIAF, , , , , , , ,Attribué,223179.214326, , , , , ,af85a129-8b6c-48fc-b4ae-a3a146dc6d35,{A732FA21-9223-45CD-99A4-6F06D6099C07},224330.763564528,598723985.369007
91,041000702,Fx,00-002,1075,15335.5999348, ,0,34159,0,2100,N,SEPFCO,2005,Boitex,Boitex,Centre/Sud, ,Mvengue/Bipindi/Messondo,15410,EnCours,NA,NA,15410,Plan Aménagement Approuvé,2008,2079/L/MINFOF/SG/DF/SDIAF, , , , , , , ,Attribué,74440.9589924, , , , , ,2695abc7-5f8e-45c1-b0bc-0aebd984aaaf,{848D8115-AE9D-4E7D-AE13-35FF853788AB},74810.1698732767,154943372.095256
92,041000702,Fx,09-022,1078,79885.9421628,Bureau Veritas,12762,30950,16269,3000,V,CFK,2013,CFK,WIJMA,Sud,Vallee du Ntem,Ambam/Ma'an,78461,EnCours,NA,NA,NA,Plan Aménagement Approuvé,2008,ND, ,FSC, ,OLB,14/06/2012, ,21/08/2009,Attribué,187326.073978, , , , , ,f5c6c3f8-14e7-41ab-876c-7678d253c724,{E3E944E6-6304-43A0-BAB3-55DD7950CC14},187907.954629266,805411258.406084
93,041000701,Fx,10-005a,1051,52986.1761962, ,27175,50938,83059,7155,V,STBK,2001,STBK,ALPI,Est,Boumba et Ngoko,Yokadouma,52245,Classee,2005,2005/0243/PM du 26 Jan 2005,52245,Plan Aménagement Approuvé,2004,1095/N/MINEF/SG/DF/SDIAF/SA, , , , , , , ,Attribué,120913.190343, , , , , ,522a5a87-42bd-4e3e-ac8b-86b9e16076e6,{E4DC59A0-1C9E-4864-B3AF-528303A5C945},120797.132557144,528548081.961871
94,041000701,Fx,10-005b,1088,37908.4239733, ,0,0,21794,1275,V,STBK,2006,STBK,ALPI,Est,Boumba et Ngoko, ,37077,Classee,2005,2005/0243/PM du 26 Jan 2005,37077,Plan Aménagement Approuvé,2004,1095/N/MINEF/SG/DF/SDIAF/SA, , , , , , , ,Attribué,119027.253187, , , , , ,b1e1c917-2896-40df-b6c2-51e354e6448c,{21D1D69A-0E5B-4CE4-A6E5-EBD67E7CBC9D},118881.886264717,378229452.334274
95,041000701,Fx,10-018,1003,81775.4022708, ,39409,43055,29458,1500,V,STBK,1997,STBK,ALPI,Est,Boumba et Ngoko,Yokadouma,65832,Classee,2005,2005/0252/PM du 26 Jan 2005,81397,Plan Aménagement Approuvé,2004,1098/N/MINEF/SG/DF/SDIAF/SA, , , , , , , ,Attribué,229077.061677, , , , , ,de720ccf-8d9f-40f3-a1d0-1d1407ab7c22,{6AAC94F5-5677-4169-837E-50C6A89EF385},229059.184527268,817411618.360022
96,041000701,Fx,10-047a,1057,46844.483735, ,22159,89,31884,6650,N,NA,NA,NA,NA,Est,Haut Nyong,Mindourou,47080,Classee,2004,2004/2444/PM du 08 Dec 2004,47080,Non attribuée,2008,2898/L/MINFOF/SG/DF/SDIAF,0214/C/MINFOF/SG/DF/SDAFF/SAG DU 28 Août 2012, , , , , , ,Non attribuée,127304.891406, , , , , ,2d045f38-f039-478f-bbca-83e10ac1fffc,{57D1E6C0-03CC-43AB-8D1E-2741CAF42BF6},127717.936905974,471243819.786611
97,041000701,Fx,10-047b,1083,47169.5370261, ,0,0,0,3850,V,PALLISCO,2012,PALLISCO,PASQUET,Est,Haut Nyong, ,48960,Classee,2004,2004/2444/PM du 08 Dec 2004,48960,Sans plan d'aménagement,NA,NA,0214/C/MINFOF/SG/DF/SDAFF/SAG DU 28 Août 2012, , , , , , ,Attribué,136876.27612, , , , , ,3595c30b-5943-4cae-86af-5912e19c4746,{3C0F1F5D-C3D3-4FCA-924E-FCFD31B65188},137239.323302524,474377779.14528
